"hv271","DHSID","LATNUM","LONGNUM","ctr","year","ctr_name"
-1.06553384615385,"AO201500000001",-12.101381,14.140703,"AO",2015,"Angola"
0.472863461538461,"AO201500000002",-9.663518,20.377014,"AO",2015,"Angola"
1.16156230769231,"AO201500000003",-8.928897,13.299542,"AO",2015,"Angola"
-0.519885384615385,"AO201500000004",-14.287585,17.621653,"AO",2015,"Angola"
-1.21820730769231,"AO201500000005",-14.211038,13.546263,"AO",2015,"Angola"
1.22432538461538,"AO201500000006",-5.562043,12.211461,"AO",2015,"Angola"
1.14738,"AO201500000007",-5.580166,12.191222,"AO",2015,"Angola"
-0.209498461538462,"AO201500000008",-12.353335,14.778694,"AO",2015,"Angola"
-0.864702307692308,"AO201500000009",-11.61019,14.460758,"AO",2015,"Angola"
0.920917692307692,"AO201500000010",-8.828197,13.3354,"AO",2015,"Angola"
1.39634961538462,"AO201500000011",-8.888833,13.353182,"AO",2015,"Angola"
-0.315956538461538,"AO201500000012",-14.236392,12.415434,"AO",2015,"Angola"
-0.915018846153846,"AO201500000013",-9.096904,15.741176,"AO",2015,"Angola"
-0.169252692307692,"AO201500000014",-14.666671,17.686694,"AO",2015,"Angola"
1.13590269230769,"AO201500000015",-14.921756,13.510776,"AO",2015,"Angola"
-1.00530384615385,"AO201500000016",-8.908463,20.259352,"AO",2015,"Angola"
-0.805161923076923,"AO201500000017",-12.275742,16.026318,"AO",2015,"Angola"
0.610146153846154,"AO201500000018",-9.553536,16.389127,"AO",2015,"Angola"
-1.09597230769231,"AO201500000019",-13.705202,14.597441,"AO",2015,"Angola"
-0.851411538461538,"AO201500000020",-15.341305,21.485585,"AO",2015,"Angola"
-0.977301153846154,"AO201500000021",-8.697084,19.727543,"AO",2015,"Angola"
1.41223692307692,"AO201500000022",-7.374192,20.809691,"AO",2015,"Angola"
0.373323076923077,"AO201500000023",-8.910589,13.45499,"AO",2015,"Angola"
-0.81088,"AO201500000024",-10.561233,17.424434,"AO",2015,"Angola"
1.46200615384615,"AO201500000025",-8.881348,13.315149,"AO",2015,"Angola"
0.35906,"AO201500000026",-6.819462,13.327338,"AO",2015,"Angola"
-0.415881923076923,"AO201500000027",-10.151903,19.264746,"AO",2015,"Angola"
-0.33973,"AO201500000028",-8.461192,20.71533,"AO",2015,"Angola"
-0.592235416666667,"AO201500000029",-10.403526,15.529566,"AO",2015,"Angola"
-0.237286538461538,"AO201500000030",-9.643511,20.405183,"AO",2015,"Angola"
0.112469230769231,"AO201500000031",-12.37901,16.920537,"AO",2015,"Angola"
-1.01393,"AO201500000032",-14.338805,14.955619,"AO",2015,"Angola"
1.22039869565217,"AO201500000033",-8.883894,13.220594,"AO",2015,"Angola"
